特征名称,重要性
f1911,38.0
f1918,38.0
f1930,38.0
f1966,38.0
f2024,38.0
f2040,38.0
f2070,38.0
f2088,38.0
f1537,37.0
f1729,37.0
f1805,37.0
f1846,37.0
f1870,37.0
f1900,37.0
f2020,37.0
f2022,37.0
f2265,37.0
f1823,36.0
f1849,36.0
f1872,36.0
f1879,36.0
f1938,36.0
f1979,36.0
f1983,36.0
f1984,36.0
f1994,36.0
f2006,36.0
f2021,36.0
f2045,36.0
f2060,36.0
f2064,36.0
f2132,36.0
f1731,35.0
f1831,35.0
f1833,35.0
f1890,35.0
f1892,35.0
f1914,35.0
f1948,35.0
f2035,35.0
f2133,35.0
f2151,35.0
f2242,35.0
f1696,34.0
f1812,34.0
f1822,34.0
f1850,34.0
f1880,34.0
f1998,34.0
f2002,34.0
f2004,34.0
f2114,34.0
f2199,34.0
f2280,34.0
f1785,33.0
f1830,33.0
f1845,33.0
f1867,33.0
f1910,33.0
f1926,33.0
f1965,33.0
f1982,33.0
f2046,33.0
f2055,33.0
f2107,33.0
f2220,33.0
f1791,32.0
f1829,32.0
f1883,32.0
f1888,32.0
f1895,32.0
f1899,32.0
f1954,32.0
f1959,32.0
f1973,32.0
f1986,32.0
f1988,32.0
f1991,32.0
f2023,32.0
f2044,32.0
f1783,31.0
f1860,31.0
f1893,31.0
f1912,31.0
f1919,31.0
f1922,31.0
f1939,31.0
f1941,31.0
f1945,31.0
f2005,31.0
f2019,31.0
f2041,31.0
f2069,31.0
f2082,31.0
f2089,31.0
f2121,31.0
f2167,31.0
f2202,31.0
f2282,31.0
f1617,30.0
f1796,30.0
f1810,30.0
f1843,30.0
f1905,30.0
f1907,30.0
f1925,30.0
f1932,30.0
f1942,30.0
f1999,30.0
f2001,30.0
f2014,30.0
f2048,30.0
f2102,30.0
f2266,30.0
f1697,29.0
f1811,29.0
f1813,29.0
f1897,29.0
f1975,29.0
f2007,29.0
f2028,29.0
f2033,29.0
f2081,29.0
f2083,29.0
f2092,29.0
f2110,29.0
f2128,29.0
f2160,29.0
f2205,29.0
f1923,28.0
f1934,28.0
f1946,28.0
f1947,28.0
f1977,28.0
f2018,28.0
f2027,28.0
f2029,28.0
f2047,28.0
f2053,28.0
f2062,28.0
f2078,28.0
f2095,28.0
f2108,28.0
f2142,28.0
f2146,28.0
f2178,28.0
f2234,28.0
f2270,28.0
f1676,27.0
f1677,27.0
f1747,27.0
f1751,27.0
f1757,27.0
f1851,27.0
f1855,27.0
f1857,27.0
f1869,27.0
f1871,27.0
f1989,27.0
f2012,27.0
f2013,27.0
f2039,27.0
f2042,27.0
f2050,27.0
f2063,27.0
f2068,27.0
f2087,27.0
f2094,27.0
f2183,27.0
f2184,27.0
f2198,27.0
f2350,27.0
f1776,26.0
f1793,26.0
f1797,26.0
f1877,26.0
f1913,26.0
f1967,26.0
f1995,26.0
f2008,26.0
f2058,26.0
f2122,26.0
f2124,26.0
f2169,26.0
f2235,26.0
f2245,26.0
f2250,26.0
f2278,26.0
f2286,26.0
f1873,25.0
f1889,25.0
f1908,25.0
f1921,25.0
f1950,25.0
f1951,25.0
f1961,25.0
f1970,25.0
f1993,25.0
f2051,25.0
f2098,25.0
f2120,25.0
f2138,25.0
f2152,25.0
f2156,25.0
f2162,25.0
f2177,25.0
f2252,25.0
f2314,25.0
f2318,25.0
f1656,24.0
f1816,24.0
f1837,24.0
f1903,24.0
f1952,24.0
f1976,24.0
f1990,24.0
f2025,24.0
f2084,24.0
f2112,24.0
f2118,24.0
f2126,24.0
f2134,24.0
f2135,24.0
f2145,24.0
f2190,24.0
f2208,24.0
f2365,24.0
f1803,23.0
f1891,23.0
f1896,23.0
f1929,23.0
f1933,23.0
f1955,23.0
f1963,23.0
f1968,23.0
f2010,23.0
f2031,23.0
f2052,23.0
f2086,23.0
f2090,23.0
f2106,23.0
f2109,23.0
f2127,23.0
f2172,23.0
f2182,23.0
f2188,23.0
f2290,23.0
f2305,23.0
f1885,22.0
f1949,22.0
f2015,22.0
f2030,22.0
f2032,22.0
f2054,22.0
f2057,22.0
f2059,22.0
f2067,22.0
f2074,22.0
f2075,22.0
f2093,22.0
f2104,22.0
f2113,22.0
f2129,22.0
f2130,22.0
f2131,22.0
f2154,22.0
f2161,22.0
f2164,22.0
f2170,22.0
f2187,22.0
f2203,22.0
f2232,22.0
f2244,22.0
f2262,22.0
f2263,22.0
f2285,22.0
f1817,21.0
f1931,21.0
f1937,21.0
f2016,21.0
f2065,21.0
f2071,21.0
f2166,21.0
f2186,21.0
f2192,21.0
f2217,21.0
f2218,21.0
f2228,21.0
f2243,21.0
f2332,21.0
f2334,21.0
f2346,21.0
f2354,21.0
f2374,21.0
f1856,20.0
f1876,20.0
f1987,20.0
f2011,20.0
f2037,20.0
f2038,20.0
f2072,20.0
f2115,20.0
f2139,20.0
f2200,20.0
f2215,20.0
f2227,20.0
f2246,20.0
f2269,20.0
f2304,20.0
f2306,20.0
f2333,20.0
f2352,20.0
f2355,20.0
f2361,20.0
f2034,19.0
f2103,19.0
f2153,19.0
f2163,19.0
f2173,19.0
f2180,19.0
f2197,19.0
f2206,19.0
f2210,19.0
f2214,19.0
f2219,19.0
f2238,19.0
f2261,19.0
f2264,19.0
f2298,19.0
f2302,19.0
f2307,19.0
f2364,19.0
f2366,19.0
f2372,19.0
f1836,18.0
f1957,18.0
f1962,18.0
f1981,18.0
f2036,18.0
f2061,18.0
f2080,18.0
f2091,18.0
f2099,18.0
f2101,18.0
f2165,18.0
f2168,18.0
f2189,18.0
f2194,18.0
f2204,18.0
f2222,18.0
f2240,18.0
f2254,18.0
f2310,18.0
f2311,18.0
f2315,18.0
f2323,18.0
f2324,18.0
f2326,18.0
f2373,18.0
f1916,17.0
f1917,17.0
f2085,17.0
f2136,17.0
f2147,17.0
f2148,17.0
f2185,17.0
f2191,17.0
f2195,17.0
f2237,17.0
f2239,17.0
f2249,17.0
f2251,17.0
f2258,17.0
f2260,17.0
f2267,17.0
f2284,17.0
f2287,17.0
f2317,17.0
f2325,17.0
f2370,17.0
f1936,16.0
f1971,16.0
f2017,16.0
f2105,16.0
f2111,16.0
f2141,16.0
f2193,16.0
f2212,16.0
f2233,16.0
f2248,16.0
f2253,16.0
f2255,16.0
f2268,16.0
f2279,16.0
f2288,16.0
f2291,16.0
f2292,16.0
f2293,16.0
f2300,16.0
f2308,16.0
f2309,16.0
f2338,16.0
f2347,16.0
f2362,16.0
f2363,16.0
f2371,16.0
f2375,16.0
f1996,15.0
f2077,15.0
f2117,15.0
f2143,15.0
f2155,15.0
f2159,15.0
f2179,15.0
f2225,15.0
f2230,15.0
f2273,15.0
f2337,15.0
f2357,15.0
f1997,14.0
f2079,14.0
f2119,14.0
f2150,14.0
f2157,14.0
f2174,14.0
f2175,14.0
f2181,14.0
f2213,14.0
f2272,14.0
f2303,14.0
f2312,14.0
f2313,14.0
f2320,14.0
f2330,14.0
f2331,14.0
f2344,14.0
f2358,14.0
f2360,14.0
f1956,13.0
f2097,13.0
f2123,13.0
f2144,13.0
f2149,13.0
f2241,13.0
f2247,13.0
f2329,13.0
f2339,13.0
f2340,13.0
f2342,13.0
f2343,13.0
f2348,13.0
f2359,13.0
f2367,13.0
f2209,12.0
f2211,12.0
f2231,12.0
f2277,12.0
f2289,12.0
f2322,12.0
f2328,12.0
f2335,12.0
f2345,12.0
f2349,12.0
f2368,12.0
f2176,11.0
f2196,11.0
f2221,11.0
f2223,11.0
f2236,11.0
f2271,11.0
f2274,11.0
f2327,11.0
f2351,11.0
f2073,10.0
f2116,10.0
f2229,10.0
f2276,10.0
f2294,10.0
f2353,10.0
f2356,10.0
f2369,10.0
f2056,9.0
f2096,9.0
f2171,9.0
f2201,9.0
f2224,9.0
f2226,9.0
f2256,9.0
f2259,9.0
f2283,9.0
f2321,9.0
f2341,9.0
f2076,8.0
f2137,8.0
f2207,8.0
f2257,8.0
f2275,8.0
f2299,8.0
f2216,7.0
f2295,7.0
f2319,7.0
f2301,6.0
f2296,4.0
f2316,4.0
f2336,4.0
f2281,3.0
