特征名称,重要性
f382,163.0
f592,163.0
f608,163.0
f688,163.0
f689,163.0
f721,163.0
f798,163.0
f893,163.0
f1045,163.0
f1072,163.0
f1073,163.0
f346,162.0
f347,162.0
f390,162.0
f395,162.0
f403,162.0
f425,162.0
f448,162.0
f452,162.0
f472,162.0
f540,162.0
f600,162.0
f664,162.0
f678,162.0
f807,162.0
f894,162.0
f899,162.0
f903,162.0
f941,162.0
f334,161.0
f344,161.0
f364,161.0
f386,161.0
f550,161.0
f650,161.0
f695,161.0
f860,161.0
f865,161.0
f900,161.0
f958,161.0
f999,161.0
f1002,161.0
f1033,161.0
f1112,161.0
f1143,161.0
f223,160.0
f392,160.0
f409,160.0
f466,160.0
f555,160.0
f573,160.0
f660,160.0
f684,160.0
f859,160.0
f889,160.0
f967,160.0
f1026,160.0
f1074,160.0
f250,159.0
f274,159.0
f309,159.0
f318,159.0
f432,159.0
f820,159.0
f827,159.0
f918,159.0
f920,159.0
f966,159.0
f1123,159.0
f219,158.0
f255,158.0
f358,158.0
f384,158.0
f504,158.0
f525,158.0
f616,158.0
f726,158.0
f928,158.0
f946,158.0
f1001,158.0
f1013,158.0
f1019,158.0
f1087,158.0
f1101,158.0
f264,157.0
f330,157.0
f350,157.0
f381,157.0
f506,157.0
f549,157.0
f649,157.0
f759,157.0
f795,157.0
f845,157.0
f912,157.0
f983,157.0
f992,157.0
f1075,157.0
f245,156.0
f299,156.0
f320,156.0
f365,156.0
f437,156.0
f439,156.0
f491,156.0
f593,156.0
f640,156.0
f739,156.0
f961,156.0
f1023,156.0
f1059,156.0
f1119,156.0
f235,155.0
f263,155.0
f271,155.0
f498,155.0
f571,155.0
f575,155.0
f624,155.0
f627,155.0
f768,155.0
f1021,155.0
f1039,155.0
f1109,155.0
f294,154.0
f295,154.0
f329,154.0
f354,154.0
f357,154.0
f372,154.0
f441,154.0
f461,154.0
f475,154.0
f561,154.0
f582,154.0
f699,154.0
f805,154.0
f948,154.0
f1022,154.0
f1147,154.0
f1232,154.0
f222,153.0
f228,153.0
f230,153.0
f305,153.0
f319,153.0
f393,153.0
f509,153.0
f566,153.0
f619,153.0
f667,153.0
f730,153.0
f887,153.0
f929,153.0
f1052,153.0
f231,152.0
f324,152.0
f495,152.0
f620,152.0
f858,152.0
f862,152.0
f979,152.0
f1005,152.0
f1046,152.0
f262,151.0
f612,151.0
f787,151.0
f792,151.0
f821,151.0
f835,151.0
f881,151.0
f940,151.0
f942,151.0
f1049,151.0
f1058,151.0
f1083,151.0
f1084,151.0
f1121,151.0
f1129,151.0
f286,150.0
f301,150.0
f303,150.0
f304,150.0
f336,150.0
f353,150.0
f367,150.0
f370,150.0
f417,150.0
f449,150.0
f467,150.0
f486,150.0
f602,150.0
f625,150.0
f670,150.0
f694,150.0
f923,150.0
f939,150.0
f988,150.0
f1006,150.0
f1008,150.0
f1028,150.0
f1043,150.0
f1067,150.0
f1219,150.0
f1238,150.0
f1260,150.0
f259,149.0
f345,149.0
f446,149.0
f591,149.0
f663,149.0
f720,149.0
f813,149.0
f815,149.0
f825,149.0
f855,149.0
f875,149.0
f901,149.0
f927,149.0
f932,149.0
f986,149.0
f1054,149.0
f348,148.0
f464,148.0
f465,148.0
f524,148.0
f551,148.0
f572,148.0
f585,148.0
f615,148.0
f658,148.0
f733,148.0
f838,148.0
f846,148.0
f857,148.0
f902,148.0
f922,148.0
f964,148.0
f1048,148.0
f1132,148.0
f1358,148.0
f308,147.0
f362,147.0
f399,147.0
f468,147.0
f488,147.0
f520,147.0
f577,147.0
f596,147.0
f653,147.0
f706,147.0
f712,147.0
f885,147.0
f975,147.0
f984,147.0
f1036,147.0
f1066,147.0
f1078,147.0
f1092,147.0
f1093,147.0
f1115,147.0
f1158,147.0
f1161,147.0
f1175,147.0
f269,146.0
f340,146.0
f355,146.0
f385,146.0
f412,146.0
f419,146.0
f422,146.0
f430,146.0
f557,146.0
f560,146.0
f669,146.0
f717,146.0
f732,146.0
f866,146.0
f943,146.0
f1144,146.0
f1166,146.0
f317,145.0
f374,145.0
f447,145.0
f501,145.0
f511,145.0
f530,145.0
f643,145.0
f708,145.0
f852,145.0
f917,145.0
f972,145.0
f990,145.0
f1004,145.0
f1095,145.0
f379,144.0
f413,144.0
f428,144.0
f631,144.0
f651,144.0
f652,144.0
f682,144.0
f758,144.0
f769,144.0
f785,144.0
f819,144.0
f869,144.0
f993,144.0
f1055,144.0
f1108,144.0
f265,143.0
f325,143.0
f400,143.0
f407,143.0
f421,143.0
f455,143.0
f480,143.0
f539,143.0
f603,143.0
f645,143.0
f648,143.0
f654,143.0
f673,143.0
f789,143.0
f830,143.0
f876,143.0
f933,143.0
f934,143.0
f952,143.0
f968,143.0
f1007,143.0
f1081,143.0
f1088,143.0
f1252,143.0
f247,142.0
f450,142.0
f454,142.0
f583,142.0
f647,142.0
f681,142.0
f714,142.0
f861,142.0
f867,142.0
f1100,142.0
f1139,142.0
f1140,142.0
f1207,142.0
f211,141.0
f227,141.0
f280,141.0
f352,141.0
f375,141.0
f431,141.0
f442,141.0
f485,141.0
f502,141.0
f537,141.0
f542,141.0
f589,141.0
f604,141.0
f607,141.0
f611,141.0
f614,141.0
f680,141.0
f687,141.0
f715,141.0
f868,141.0
f895,141.0
f915,141.0
f1009,141.0
f1061,141.0
f1332,141.0
f1365,141.0
f380,140.0
f420,140.0
f482,140.0
f497,140.0
f518,140.0
f544,140.0
f595,140.0
f691,140.0
f704,140.0
f811,140.0
f863,140.0
f924,140.0
f1025,140.0
f1034,140.0
f1069,140.0
f1102,140.0
f216,139.0
f310,139.0
f388,139.0
f529,139.0
f562,139.0
f570,139.0
f734,139.0
f744,139.0
f750,139.0
f764,139.0
f771,139.0
f784,139.0
f812,139.0
f814,139.0
f905,139.0
f960,139.0
f974,139.0
f1010,139.0
f1062,139.0
f1153,139.0
f1178,139.0
f1189,139.0
f429,138.0
f463,138.0
f531,138.0
f534,138.0
f590,138.0
f700,138.0
f747,138.0
f751,138.0
f882,138.0
f953,138.0
f989,138.0
f1167,138.0
f256,137.0
f281,137.0
f383,137.0
f457,137.0
f508,137.0
f510,137.0
f628,137.0
f662,137.0
f724,137.0
f801,137.0
f844,137.0
f1050,137.0
f1070,137.0
f1163,137.0
f1192,137.0
f1218,137.0
f1394,137.0
f339,136.0
f351,136.0
f389,136.0
f474,136.0
f483,136.0
f690,136.0
f833,136.0
f955,136.0
f957,136.0
f998,136.0
f1018,136.0
f1274,136.0
f236,135.0
f297,135.0
f302,135.0
f343,135.0
f554,135.0
f565,135.0
f637,135.0
f729,135.0
f765,135.0
f777,135.0
f779,135.0
f793,135.0
f796,135.0
f799,135.0
