iter	MultiClass
0	1.844193058
1	1.783406975
2	1.73464654
3	1.696153381
4	1.666231217
5	1.644038423
6	1.621623412
7	1.602224278
8	1.586466953
9	1.570517728
10	1.555162598
11	1.542783488
12	1.534477032
13	1.523423159
14	1.515413796
15	1.507331463
16	1.492604599
17	1.484050332
18	1.478572531
19	1.471456136
20	1.463469605
21	1.456733862
22	1.451494451
23	1.443536462
24	1.438890201
25	1.435019209
26	1.431042346
27	1.425199193
28	1.419144744
29	1.415186611
30	1.410931398
31	1.406428311
32	1.40015343
33	1.394257583
34	1.390462262
35	1.385159651
36	1.378763117
37	1.375128677
38	1.370082684
39	1.365832097
40	1.360959853
41	1.355955267
42	1.351659521
43	1.347388822
44	1.34251335
45	1.337307427
46	1.33124117
47	1.325855014
48	1.321841818
49	1.317681037
50	1.313774899
51	1.309214714
52	1.304815526
53	1.30071305
54	1.295281145
55	1.292090935
56	1.289764867
57	1.284323888
58	1.280358109
59	1.276342842
60	1.273150259
61	1.269580339
62	1.265865251
63	1.262551329
64	1.259116597
65	1.255833663
66	1.253215591
67	1.249287411
68	1.247050684
69	1.244537989
70	1.242118224
71	1.238683516
72	1.236255955
73	1.23326939
74	1.230079553
75	1.22686005
76	1.22386267
77	1.220673055
78	1.216998824
79	1.213668694
80	1.210502506
81	1.20732248
82	1.205578115
83	1.202150699
84	1.200157496
85	1.198253046
86	1.196030159
87	1.193217265
88	1.189803033
89	1.187197468
90	1.185071218
91	1.182438668
92	1.180535226
93	1.178022653
94	1.175539623
95	1.17236378
96	1.169034002
97	1.165569229
98	1.163507284
99	1.16087048
100	1.157258095
101	1.154621527
102	1.152672251
103	1.149861685
104	1.147349774
105	1.146232367
106	1.144578331
107	1.141551187
108	1.139901057
109	1.137911028
110	1.136642187
111	1.134888942
112	1.132756839
113	1.13126675
114	1.129556302
115	1.12763451
116	1.125811338
117	1.124096424
118	1.121745585
119	1.120013444
120	1.11844464
121	1.115976516
122	1.113301403
123	1.1112196
124	1.109392269
125	1.107730013
126	1.106062108
127	1.104597268
128	1.103117815
129	1.100640432
130	1.098725886
131	1.096853403
132	1.095481232
133	1.093327313
134	1.091711704
135	1.089757031
136	1.088125361
137	1.086852215
138	1.085043893
139	1.083251628
140	1.081316994
141	1.080160244
142	1.078945573
143	1.077122554
144	1.075200692
145	1.072968716
146	1.071241411
147	1.069871006
148	1.067724519
149	1.066100744
150	1.063303404
151	1.061449332
152	1.059796479
153	1.057877881
154	1.055797103
155	1.054109223
156	1.052531464
157	1.050647827
158	1.049582854
159	1.04835535
160	1.046549323
161	1.044107611
162	1.042428727
163	1.040849328
164	1.039537833
165	1.038026824
166	1.036112574
167	1.034007191
168	1.032349162
169	1.030887751
170	1.029463076
171	1.028024919
172	1.0264973
173	1.025275071
174	1.023675659
175	1.02203776
176	1.020690471
177	1.019605363
178	1.01806228
179	1.016862315
180	1.015179305
181	1.013549196
182	1.011644052
183	1.010720204
184	1.00917157
185	1.007251495
186	1.005792904
187	1.004314238
188	1.00232151
189	1.00097825
190	0.9992489851
191	0.9973263402
192	0.9958850328
193	0.9944138751
194	0.9931340188
195	0.9916019458
196	0.9900511137
197	0.9883060606
198	0.9876968491
199	0.9865711686
200	0.9849289323
201	0.9835444539
202	0.9818001207
203	0.9803032944
204	0.9790059882
205	0.9771258673
206	0.9755769226
207	0.974477749
208	0.9733365261
209	0.9716673292
210	0.9704504937
211	0.9679233718
212	0.9665811629
213	0.9647253409
214	0.963497535
215	0.9619387863
216	0.960622973
217	0.9589729792
218	0.9580794887
219	0.9568611101
220	0.9555938178
221	0.9540328173
222	0.9527789215
223	0.9514542059
224	0.9500442933
225	0.9480953624
226	0.946829182
227	0.9456297858
228	0.9446342787
229	0.9431432537
230	0.9421712728
231	0.9413314061
232	0.9398768019
233	0.9385810246
234	0.937501011
235	0.9362571072
236	0.934805528
237	0.9335111831
238	0.9319306655
239	0.9308624862
240	0.9295595967
241	0.9278741938
242	0.926911816
243	0.9256758552
244	0.924335365
245	0.9233248214
246	0.9219686342
247	0.9204939709
248	0.9196886953
249	0.91877101
250	0.917718075
251	0.9165513854
252	0.9156398333
253	0.9146705351
254	0.9132668053
255	0.9119903758
256	0.9107544743
257	0.9092402618
258	0.908210055
259	0.9072232454
260	0.9062898086
261	0.9050258132
262	0.9037903733
263	0.9029115294
264	0.901770246
265	0.9003787647
266	0.8992398968
267	0.8969178609
268	0.8957268935
269	0.8949350851
270	0.8940243436
271	0.8929484219
272	0.8907939925
273	0.8896952626
274	0.8885733829
275	0.8875401137
276	0.8864202523
277	0.8851426477
278	0.8841951845
279	0.8829993667
280	0.882123022
281	0.881256555
282	0.8798561714
283	0.8788159553
284	0.8778766518
285	0.8757326367
286	0.8746957805
287	0.8732293203
288	0.872234453
289	0.871352541
290	0.8702958531
291	0.8685721704
292	0.8665101003
293	0.8657150552
294	0.8646728512
295	0.8637087474
296	0.8631624443
297	0.8623309049
298	0.8611093705
299	0.8595475512
300	0.8587412766
301	0.8573416277
302	0.8560167748
303	0.8552512095
304	0.8544258793
305	0.8532403247
306	0.8518645747
307	0.8509932915
308	0.850174943
309	0.8487680422
310	0.8476322256
311	0.8463766757
312	0.845301927
313	0.8444539136
314	0.8433478179
315	0.84220563
316	0.841281426
317	0.8399126515
318	0.8387953127
319	0.8374746362
320	0.8367480611
321	0.8362795571
322	0.8352493313
323	0.8338743055
324	0.8331267899
325	0.8324557297
326	0.8316248114
327	0.8308066858
328	0.8300570118
329	0.828973432
330	0.8282100334
331	0.8273579256
332	0.8261963097
333	0.8251432525
334	0.8243087449
335	0.8228174304
336	0.8214961903
337	0.8201954952
338	0.8191185277
339	0.8180959524
340	0.8167394744
341	0.8151619587
342	0.8145133157
343	0.8135941552
344	0.812709152
345	0.8116117009
346	0.8103912299
347	0.8092888976
348	0.8078621435
349	0.8071056523
350	0.8057175685
351	0.8044657208
352	0.8027493553
353	0.8014760388
354	0.8004674363
355	0.7997663534
356	0.7989308973
357	0.7980794588
358	0.7970489708
359	0.7960477593
360	0.7944952508
361	0.7935525542
362	0.7926265633
363	0.7915315647
364	0.7903472049
365	0.7896980026
366	0.7888178584
367	0.7874939296
368	0.7867117235
369	0.7857888887
370	0.7845979475
371	0.7834922307
372	0.7825998114
373	0.7816307903
374	0.7811863589
375	0.7799386022
376	0.7793137234
377	0.7784898945
378	0.7774659556
379	0.7768963521
380	0.7762553691
381	0.7755728331
382	0.7744089216
383	0.7738448614
384	0.7724332696
385	0.7716978299
386	0.7710929333
387	0.7703311169
388	0.7696945827
389	0.7685880243
390	0.7679048576
391	0.7669439531
392	0.7664001792
393	0.7656712325
394	0.7651787468
395	0.7642399113
396	0.7633019388
397	0.761823707
398	0.7608609327
399	0.7600121662
400	0.7592427346
401	0.7580259305
402	0.7571184285
403	0.7558689716
404	0.75488931
405	0.7542554359
406	0.7535515875
407	0.7526906453
408	0.7508902919
